Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-162.15959	92.557785	-5.8030868	-422.94656	83.11905	-0.028093467	0.15749286	0.57150066	-0.42316303	3500	-1.6348702e-09	21808.086	-0.013957955	-5261.885	1.3607967	0.012066235	0.117714286	79.0	4.961298942565918
1	-131.48581	85.964966	-5.859232	-443.2783	84.78049	-23.21415	0.22801252	-18.570732	-23.265175	7000	-2.2479465e-09	11301.329	-0.012069868	-1543.4971	1.3632263	0.0077303676	0.092285715	79.0	9.300577878952026
2	-125.94638	58.72594	0.78543484	-365.91812	85.31707	-33.821144	0.050823793	-33.0201	-33.843857	10500	-7.656642e-08	8339.427	-0.010580773	-1406.186	1.3586245	0.010090551	0.100857146	79.0	13.679451942443848
3	-107.058914	41.92726	-4.0793376	-217.0722	90.18421	-44.157383	0.56945705	-32.391716	-44.218006	14000	2.173015e-08	3101.39	-0.013880021	-467.92358	1.3549749	0.01075898	0.11657143	79.0	18.075875759124756
4	-144.90549	84.74485	-31.126083	-480.9966	96.0	-50.34486	5.5554237	36.06057	-50.752243	17500	-5.3882598e-08	10084.102	-0.0051527377	-1537.416	1.3399936	0.015065982	0.20542857	13.0	21.819787979125977
5	-104.56509	40.490307	-22.063498	-193.79195	91.07895	-61.7364	0.15876877	-57.78553	-61.749332	21000	9.877341e-09	2168.6416	-0.01258551	-257.29993	1.346138	0.009291354	0.16485715	79.0	26.220102787017822
6	-95.85609	33.150005	-50.699562	-229.0462	90.47369	-67.086395	0.0045392835	-67.02432	-67.08907	24500	2.4080277e-08	1096.702	-0.00680914	-74.82379	1.3454281	0.016632454	0.3137143	11.0	29.85471487045288
7	-86.506676	53.56534	33.77752	-265.62808	98.2	-69.97308	0.2770881	-64.105606	-70.00871	28000	-5.662441e-09	2774.8442	-0.014109144	-7.8464355	1.3254179	0.013800524	0.12542857	79.0	34.29104208946228
8	-96.04672	70.87866	34.85012	-347.43298	96.666664	-70.55517	0.070790716	-67.796074	-70.56218	31500	-2.183233e-08	4115.9507	-0.011950041	-87.001465	1.3058312	0.01520358	0.24285714	18.0	38.046616077423096
9	-70.47748	45.756855	-1.3298063	-186.69073	105.606064	-73.63957	1.0632125	-54.395763	-73.72414	35000	2.7111598e-08	2176.8066	-0.0065130214	-91.19824	1.3015407	0.017073156	0.28085715	14.0	41.76187992095947
10	-61.686035	53.685326	91.752304	-166.61319	151.95653	-70.788956	0.32723212	-66.99071	-70.84345	38500	4.495893e-09	2883.2249	-0.009462238	-1557.3882	1.2649254	0.009224874	0.10257143	79.0	47.343015909194946
11	-69.49084	73.167046	46.053577	-287.23328	114.13333	-55.62282	10.953232	51.2569	-59.167034	42000	1.4407294e-08	3600.7268	-0.011652473	-233.59888	1.216946	0.010229299	0.15428571	79.0	51.956644773483276
12	-44.261307	40.547234	24.232565	-129.38098	114.666664	-60.182552	0.08399009	-57.9436	-61.64679	45500	1.0217939e-09	1423.1163	-0.011332775	-61.15088	1.1949716	0.01003911	0.09257143	79.0	56.622172832489014
13	-49.605957	55.54146	24.495598	-182.83798	119.24138	-57.23697	0.22015685	-56.873585	-60.882366	49000	-2.6949813e-09	2297.4624	-0.012695413	-55.398926	1.1828979	0.013785452	0.11285714	79.0	61.13785982131958
14	-41.200203	83.97294	109.11484	-280.2806	173.5	-56.760483	2.5110264	-53.396233	-62.736336	52500	-7.390976e-09	4227.403	-0.009393106	-586.68164	1.11347	0.0161139	0.19914286	15.0	65.54668378829956
15	-54.32109	75.2407	61.15157	-202.70445	183.21053	-31.266293	14.041314	3.5680208	-58.04866	56000	1.0799084e-08	3209.6023	-0.008902913	-475.39526	1.160768	0.01350476	0.065714285	79.0	70.69475197792053
16	-24.720247	53.273636	46.528767	-198.5339	150.52174	-43.852196	4.7077026	-13.873318	-60.911224	59500	-2.2820064e-08	2918.4526	-0.014156683	-236.4607	1.1148021	0.012122546	0.118857145	79.0	75.45952987670898
17	22.902256	74.79091	152.69994	-36.985508	397.42856	-53.253536	9.082588	-26.644989	-61.928684	63000	-2.5476728e-08	4029.0464	-0.0111053595	-1544.6404	1.0861217	0.01230182	0.112	79.0	82.08147287368774
18	4.3603024	82.75052	212.38203	-60.97035	249.6923	-26.873886	10.471995	21.556135	-56.307545	66500	-7.3058266e-09	5135.7407	-0.010435367	-854.0425	1.0677309	0.019222619	0.25085714	12.0	86.6447548866272
19	31.061846	117.89855	214.13217	-111.83905	479.57144	-11.97019	20.560783	43.48271	-53.75787	70000	-3.4740992e-09	5019.586	-0.010276171	-2042.1042	0.93485993	0.009346589	0.102	79.0	93.11587285995483
20	13.880748	85.47641	222.00066	-126.604485	290.66666	7.261359	31.125446	50.90477	-51.74751	73500	-4.998275e-09	3855.0005	-0.008495462	-731.79443	0.9470433	0.007352698	0.07657143	79.0	98.82682704925537
21	23.590864	119.22827	245.68611	-180.14253	311.45456	-0.03801559	21.726067	52.79039	-53.607384	77000	-5.6368963e-09	6634.4854	-0.0110176215	-972.7295	0.95856917	0.009657042	0.122285716	79.0	104.47063183784485
22	60.512093	108.007416	239.87314	-86.75779	320.5	-0.44204637	23.7292	52.79662	-53.39803	80500	2.5851387e-08	7842.038	-0.00810684	-1777.27	0.89425653	0.017834174	0.084	16.0	109.27974081039429
23	103.62477	97.52691	266.89774	-13.672521	542.2	18.167171	24.92231	51.951817	-52.373356	84000	3.4059797e-11	3923.1665	-0.0070386934	-1019.7854	0.90247774	0.004518856	0.07057143	79.0	116.44779896736145
24	95.77889	117.417816	234.25069	-61.32522	676.8	31.556278	14.679945	52.536674	-47.072342	87500	-4.8701253e-08	3493.6575	-0.010847112	-618.6045	0.8465515	0.011367175	0.13771428	79.0	122.6885187625885
25	130.23227	96.85297	223.90736	9.378762	594.0	40.57138	16.037167	54.719215	-47.79582	91000	-4.053116e-09	4029.7183	-0.009022559	-1242.3638	0.86524254	0.010639708	0.11514286	79.0	129.47278904914856
26	117.28388	125.35767	269.06726	-41.31598	564.8333	59.012474	13.701812	63.073322	-54.18224	94500	-6.0200693e-09	5110.394	-0.009085751	-1007.2588	0.82678074	0.007328288	0.07857143	79.0	135.8940417766571
27	214.30833	81.06617	288.7145	10.316887	424.875	62.200104	14.949903	66.43214	-64.83018	98000	1.48160115e-08	7579.8535	-0.00833455	-2396.289	0.88944066	0.007858491	0.08228572	79.0	141.95597791671753
28	222.99617	39.63265	277.63858	180.5759	580.0	87.53931	0.061288472	87.5455	86.3787	101500	7.152557e-09	1871.883	-0.009887608	-391.81665	0.9375818	0.012457424	0.10485714	79.0	149.0500509738922
29	162.7944	98.230354	277.06314	-15.854727	663.0	98.17362	0.053718153	98.17546	95.69352	105000	2.8014183e-08	6205.26	-0.011957534	-627.4961	0.88317627	0.015865983	0.15057144	30.0	155.1915807723999
30	157.10019	120.447624	271.95987	-87.39695	455.7143	85.00095	8.432383	86.12543	-69.10036	108500	1.2857574e-08	7055.3535	-0.006491926	-1186.0537	0.8969975	0.008990255	0.08685714	79.0	162.01279377937317
31	251.8986	17.754873	271.4012	220.71167	673.8	85.118	9.847671	90.18591	43.144394	112000	6.318092e-08	2271.5784	-0.007296344	-722.3854	0.7229156	0.005755445	0.050571427	79.0	169.49426102638245
32	202.3464	44.059982	253.72295	122.36388	609.6	97.797386	0.04897591	97.79979	94.95187	115500	-1.9414085e-08	3208.7783	-0.0056746276	-11.324707	0.83023375	0.016785981	0.08142857	27.0	175.44393396377563
33	164.01581	91.63428	209.92743	-40.424225	531.8333	96.234436	3.1930346	96.35334	-6.246623	119000	4.393714e-09	3909.3376	-0.0068722125	-92.72656	0.90985286	0.005508036	0.10285714	79.0	182.7317328453064
34	121.92696	93.20455	247.50075	5.3853693	581.5	79.51443	22.806932	94.170746	-85.77733	122500	-1.2551035e-08	6302.226	-0.008588708	-2542.0442	0.94128084	0.00685691	0.09257143	79.0	190.21799874305725
35	138.97025	115.711296	229.7925	-57.482426	454.85715	71.71286	27.570625	90.465904	-89.30501	126000	-1.7370496e-09	7719.852	-0.008645586	-1335.4019	0.9461656	0.012101079	0.08914286	79.0	197.0575249195099
36	219.52336	31.566805	257.05038	174.53392	504.33334	75.600235	21.304028	93.23842	-17.521017	129500	-4.7683715e-09	3247.4832	-0.007206346	-2255.7446	0.91920584	0.009058868	0.066	79.0	204.86664986610413
37	156.44617	111.31639	254.48874	-23.72767	499.7143	99.96345	19.462032	105.52029	30.29976	133000	7.1525574e-10	8998.096	-0.009482219	-1508.3599	0.94399744	0.0069512893	0.069142856	79.0	213.00122594833374
38	163.43318	89.28718	250.70807	-26.813156	576.0	91.68465	4.379767	91.911446	-29.75458	136500	8.608613e-09	4897.506	-0.0061463816	-1153.7393	0.9387216	0.009461493	0.12971428	79.0	220.81220197677612
39	82.800705	204.4849	269.138	-214.14528	530.8	76.884445	19.07416	88.7681	-16.229643	140000	-1.0779925e-08	24321.074	-0.012510891	-8851.455	0.9137827	0.010045843	0.12485714	79.0	229.1224639415741
40	79.78407	153.97816	176.7479	-224.98413	696.4	34.98424	7.1382856	62.891834	-17.515818	143500	4.8194613e-09	9805.395	-0.008819546	-727.14844	0.9834876	0.015953073	0.16371429	20.0	238.4764919281006
41	28.674725	145.81248	165.52847	-207.91084	804.0	36.153908	11.988076	61.08495	23.792337	147000	-1.2806484e-08	8841.944	-0.008923285	-1110.2588	0.95028895	0.016311584	0.10057143	35.0	247.9601309299469
